Source,Destination,Distance (km)
CGQ,CGO,1463.4353523235736
CGQ,NKG,1487.0688180684294
CGQ,TNA,1068.4267192750676
CGQ,TSN,879.4911360551006
CKG,CAN,965.640890647224
CKG,CGO,862.4493354273621
CKG,CSX,662.126376438202
CKG,CTU,276.1765540058017
CKG,CZX,1277.259524807899
CKG,DLC,1707.2298330222645
CKG,DYG,374.48661294517603
CKG,HAK,1153.8834583337255
CKG,HGH,1328.8793183445155
CKG,HKT,2554.6579709716716
CKG,KHN,902.5763046441308
CKG,KMG,630.6937859608279
CKG,LHW,806.2550757364188
CKG,LJG,711.9027459800927
CKG,LXA,1521.7658654202028
CKG,NGB,1429.4463772619022
CKG,NKG,1188.7662294149957
CKG,NNG,805.2729963650821
CKG,PEK,1464.0097081882318
CKG,PVG,1461.2107347843464
CKG,PZI,591.9593714747509
CKG,SWA,1195.3546921309996
CKG,SYD,8484.96328403083
CKG,SYX,1300.0788968603324
CKG,SZX,1063.1456741956613
CKG,TNA,1261.8565441177855
CKG,TSA,1558.6391400241764
CKG,TSN,1432.3295344844062
CKG,TYN,1049.7424549412692
CKG,URC,2313.1532472978115
CKG,WUH,736.1594957773094
CKG,WUX,1333.2201914222167
CKG,XIY,562.0029409151975
CKG,XNN,869.4984324945889
CKG,YIH,474.42156422181995
CKG,ZHA,1016.3955125711433
CSX,CKG,662.126376438202
CSX,CTU,936.5698591021027
CSX,FOC,685.3254655309713
CSX,KMG,1078.3681946684724
CSX,SHE,1761.2296124323539
CSX,WNZ,749.4603310553023
CSX,XMN,634.9914638143396
CTU,CAN,1222.6284077580654
CTU,CGO,1025.0271024559277
CTU,CKG,276.1765540058017
CTU,CSX,936.5698591021027
CTU,DCY,400.23822349074726
CTU,DSN,1127.0968710701718
CTU,HAK,1351.825083858453
CTU,HDG,1173.6513422980618
CTU,HET,1344.1890685477522
CTU,HFE,1276.3104564004
CTU,HGH,1580.222375387982
CTU,HKG,1351.6566549788797
CTU,HKT,2565.709892019976
CTU,ICN,2204.20841906803
CTU,JHG,1008.0082849485904
CTU,JIQ,484.7536156112623
CTU,JZH,254.1863545829926
CTU,KHN,1169.2861750457566
CTU,KMG,617.1225240511029
CTU,KOW,1183.4427806070958
CTU,KWE,528.6171723752445
CTU,LHW,660.824767001687
CTU,LJG,564.1709662419789
CTU,LUM,869.8349017422847
CTU,LXA,1263.3528240639637
CTU,LZY,936.6210998462973
CTU,MEL,8697.440511425402
CTU,NKG,1423.9540149608888
CTU,NNG,980.508989428873
CTU,PEK,1556.0636495367114
CTU,PVG,1703.886492923019
CTU,PZI,495.63007549118896
CTU,SHE,2134.8229959291966
CTU,SJW,1304.2791055316134
CTU,SYX,1472.1759905543827
CTU,SZX,1318.272030715979
CTU,TAO,1647.705364687689
CTU,TNA,1409.9498649266502
CTU,TSA,1833.878022418567
CTU,TSN,1545.5946911038232
CTU,TYN,1127.3578424166913
CTU,URC,2071.4970248104223
CTU,WNZ,1665.0402684344454
CTU,WUH,981.1806715093188
CTU,WUX,1572.1620467373673
CTU,WXN,429.6443358596069
CTU,XIC,334.85555414648815
CTU,XIY,622.7660519319485
CTU,XMN,1548.8588644889758
CTU,XNN,684.5764467712169
CTU,XUZ,1334.8041219221727
CTU,YIH,721.0946881782448
CTU,YTY,1509.0395792044017
CZX,CKG,1277.259524807899
CZX,HRB,1622.3659650560278
CZX,XMN,835.8969226020662
CZX,ZUH,1271.1857960652278
DAT,TYN,267.6385651986639
DCY,CTU,400.23822349074726
DLC,CKG,1707.2298330222645
DLC,HGH,976.6473994833116
DLC,HRB,835.2022496320753
DLC,TNA,445.7890748751282
DLC,XUZ,651.310238917813
DNH,LHW,868.2475034666295
DSN,CTU,1127.0968710701718
DSN,SHE,1173.869097439206
DYG,CKG,374.48661294517603
DYG,NKG,858.6327054413978
FOC,CSX,685.3254655309713
FOC,XIY,1410.8998118914028
GXH,LXA,1262.9859757705644
GXH,XIY,560.1700994876901
HAK,CKG,1153.8834583337255
HAK,CTU,1351.825083858453
HAK,HGH,1521.367315205731
HAK,NGB,1560.7775520086227
HAK,ZUH,380.4875569875634
HDG,CTU,1173.6513422980618
HET,CTU,1344.1890685477522
HFE,CTU,1276.3104564004
HGH,CGO,781.2901044299466
HGH,CKG,1328.8793183445155
HGH,CTU,1580.222375387982
HGH,DLC,976.6473994833116
HGH,HAK,1521.367315205731
HGH,KWE,1394.3037637636323
HGH,TSN,1028.394720309062
HGH,TYN,1102.122500701777
HKG,CTU,1351.6566549788797
HKG,YIH,948.5105105823757
HKG,ZHA,386.9538369387505
HKT,CKG,2554.6579709716716
HKT,CTU,2565.709892019976
HRB,CGO,1620.678935421462
HRB,CZX,1622.3659650560278
HRB,DLC,835.2022496320753
HRB,NGB,1805.401778766208
HRB,NKG,1669.6233296940966
HRB,NZH,798.9665289173031
HRB,SJW,1254.4828682920177
HRB,TNA,1231.4718711035957
HRB,TSN,1027.000352118981
HRB,WNZ,2026.0055280185966
HRB,WUH,1952.0825598802226
HRB,XIY,1932.4884995411965
HRB,XUZ,1482.6894852016715
ICN,CTU,2204.20841906803
JGN,LHW,592.187077937729
JHG,CTU,1008.0082849485904
JHG,KMG,412.1403468651478
JIQ,CTU,484.7536156112623
JJN,KWE,1196.834402013481
JJN,WUH,792.9233570417357
JZH,CTU,254.1863545829926
KHG,URC,1065.9695594776233
KHN,CKG,902.5763046441308
KHN,CTU,1169.2861750457566
KHN,KMG,1350.745952016512
KHN,NGB,549.5442245749061
KMG,CGO,1482.9691651171734
KMG,CKG,630.6937859608279
KMG,CSX,1078.3681946684724
KMG,CTU,617.1225240511029
KMG,JHG,412.1403468651478
KMG,KHN,1350.745952016512
KMG,KWE,419.14717130753723
KMG,LUM,450.8178912051768
KMG,NGB,1899.9369957659085
KMG,NKG,1721.6746832886968
KMG,TAO,2073.6809361749742
KMG,TNA,1883.4802656945744
KMG,TPE,1841.8327652576168
KMG,WXN,832.7306181232656
KMG,XIY,1180.7543194114035
KMG,XMN,1534.3372232268882
KMG,XUZ,1726.7762185493914
KOW,CTU,1183.4427806070958
